id,name,psmiles,source,description,Tg,Tm,elastic_modulus,molecular_weight
polypropene,Polypropene,CC,pdf_datasheet,Polymer extracted from datasheet: Polypropene,,,9003.0,
polypropylenefibres,Polypropylenefibres,CC,pdf_datasheet,Polymer extracted from datasheet: PolypropyleneFibres,,,9003.0,
polypro,Polypro,CC,pdf_datasheet,Polymer extracted from datasheet: Polypro,,,9003.0,
polyethylenecopolymerfriction,Polyethylenecopolymerfriction,CC,pdf_datasheet,Polymer extracted from datasheet: polyethylenecopolymerFriction,,,12.0,
polyphosphate,Polyphosphate,CC,pdf_datasheet,Polymer extracted from datasheet: polyphosphate,,,0.04,
polymere,Polymere,CC,pdf_datasheet,Polymer extracted from datasheet: Polymere,,,100.0,
polyfine,Polyfine,CC,pdf_datasheet,Polymer extracted from datasheet: Polyfine,,,5.0,
polyflam,Polyflam,CC,pdf_datasheet,Polymer extracted from datasheet: Polyflam,,,5.0,
polyfort,Polyfort,CC,pdf_datasheet,Polymer extracted from datasheet: Polyfort,,,5.0,
polymermonomers,Polymermonomers,CC,pdf_datasheet,Polymer extracted from datasheet: polymerMonomers,,,29160.0,
polymersover,Polymersover,CC,pdf_datasheet,Polymer extracted from datasheet: polymersover,,,1.0,
polyene,Polyene,CC,pdf_datasheet,Polymer extracted from datasheet: polyene,,,30.0,
polypropylenephase,Polypropylenephase,CC,pdf_datasheet,Polymer extracted from datasheet: polypropylenephase,,,1.0,
polymer3,Polymer3,CC,pdf_datasheet,Polymer extracted from datasheet: polymer3,,,7.0,
polymethyloxirane,Polymethyloxirane,CC,pdf_datasheet,Polymer extracted from datasheet: Polymethyloxirane,,,1.0,
polyols,Polyols,CC,pdf_datasheet,Polymer extracted from datasheet: polyols,,,1.0,
polyolsrelated,Polyolsrelated,CC,pdf_datasheet,Polymer extracted from datasheet: polyolsRelated,,,1.0,
polymerising,Polymerising,CC,pdf_datasheet,Polymer extracted from datasheet: polymerising,,,48.0,
polyproylene,Polyproylene,CC,pdf_datasheet,Polymer extracted from datasheet: polyproylene,,,300.0,
